,author,pronoun,verb,count,total,frequency,rank
596,Wordsworth,I,awoke,1,285,3.5087719298245617,43.0
597,Wordsworth,I,be,1,285,3.5087719298245617,44.0
600,Wordsworth,I,breathe,1,285,3.5087719298245617,45.0
601,Wordsworth,I,burn,1,285,3.5087719298245617,46.0
602,Wordsworth,I,burst,1,285,3.5087719298245617,47.0
604,Wordsworth,I,came,1,285,3.5087719298245617,48.0
605,Wordsworth,I,can behold,1,285,3.5087719298245617,49.0
606,Wordsworth,I,can venerate,1,285,3.5087719298245617,50.0
607,Wordsworth,I,cannot brood,1,285,3.5087719298245617,51.0
608,Wordsworth,I,cast,1,285,3.5087719298245617,52.0
610,Wordsworth,I,chanted,1,285,3.5087719298245617,53.0
611,Wordsworth,I,choose,1,285,3.5087719298245617,54.0
612,Wordsworth,I,claim,1,285,3.5087719298245617,55.0
613,Wordsworth,I,clomb,1,285,3.5087719298245617,56.0
615,Wordsworth,I,confess,1,285,3.5087719298245617,57.0
616,Wordsworth,I,consult,1,285,3.5087719298245617,58.0
617,Wordsworth,I,could forget,1,285,3.5087719298245617,59.0
618,Wordsworth,I,could not part ,1,285,3.5087719298245617,60.0
619,Wordsworth,I,could not win,1,285,3.5087719298245617,61.0
620,Wordsworth,I,could trip o'er,1,285,3.5087719298245617,62.0
622,Wordsworth,I,crowded,1,285,3.5087719298245617,63.0
623,Wordsworth,I,cry,1,285,3.5087719298245617,64.0
624,Wordsworth,I,culled,1,285,3.5087719298245617,65.0
625,Wordsworth,I,dare,1,285,3.5087719298245617,66.0
626,Wordsworth,I,dared,1,285,3.5087719298245617,67.0
627,Wordsworth,I,deplore,1,285,3.5087719298245617,68.0
628,Wordsworth,I,did make,1,285,3.5087719298245617,69.0
629,Wordsworth,I,did range,1,285,3.5087719298245617,70.0
630,Wordsworth,I,do lie,1,285,3.5087719298245617,71.0
631,Wordsworth,I,dread,1,285,3.5087719298245617,72.0
632,Wordsworth,I,dropped,1,285,3.5087719298245617,73.0
633,Wordsworth,I,end,1,285,3.5087719298245617,74.0
634,Wordsworth,I,endure,1,285,3.5087719298245617,75.0
635,Wordsworth,I,enjoy,1,285,3.5087719298245617,76.0
636,Wordsworth,I,err,1,285,3.5087719298245617,77.0
637,Wordsworth,I,espy,1,285,3.5087719298245617,78.0
638,Wordsworth,I,essayed,1,285,3.5087719298245617,79.0
639,Wordsworth,I,explore,1,285,3.5087719298245617,80.0
641,Wordsworth,I,feign not,1,285,3.5087719298245617,81.0
642,Wordsworth,I,felt,1,285,3.5087719298245617,82.0
643,Wordsworth,I,filled,1,285,3.5087719298245617,83.0
645,Wordsworth,I,flee,1,285,3.5087719298245617,84.0
646,Wordsworth,I,foretell,1,285,3.5087719298245617,85.0
647,Wordsworth,I,forget,1,285,3.5087719298245617,86.0
649,Wordsworth,I,gave,1,285,3.5087719298245617,87.0
650,Wordsworth,I,gaze,1,285,3.5087719298245617,88.0
652,Wordsworth,I,give way,1,285,3.5087719298245617,89.0
653,Wordsworth,I,grieved,1,285,3.5087719298245617,90.0
654,Wordsworth,I,guessed,1,285,3.5087719298245617,91.0
657,Wordsworth,I,have been beguiled,1,285,3.5087719298245617,92.0
658,Wordsworth,I,have bent,1,285,3.5087719298245617,93.0
659,Wordsworth,I,have borne,1,285,3.5087719298245617,94.0
660,Wordsworth,I,have done wrong,1,285,3.5087719298245617,95.0
662,Wordsworth,I,have heard,1,285,3.5087719298245617,96.0
663,Wordsworth,I,have in mind,1,285,3.5087719298245617,97.0
664,Wordsworth,I,have loved,1,285,3.5087719298245617,98.0
665,Wordsworth,I,have risen,1,285,3.5087719298245617,99.0
667,Wordsworth,I,have thought,1,285,3.5087719298245617,100.0
668,Wordsworth,I,have traced,1,285,3.5087719298245617,101.0
669,Wordsworth,I,have trod,1,285,3.5087719298245617,102.0
671,Wordsworth,I,hear,1,285,3.5087719298245617,103.0
673,Wordsworth,I,hope,1,285,3.5087719298245617,104.0
674,Wordsworth,I,inform,1,285,3.5087719298245617,105.0
675,Wordsworth,I,knew,1,285,3.5087719298245617,106.0
676,Wordsworth,I,know,1,285,3.5087719298245617,107.0
677,Wordsworth,I,know not,1,285,3.5087719298245617,108.0
678,Wordsworth,I,laugh,1,285,3.5087719298245617,109.0
679,Wordsworth,I,laughed,1,285,3.5087719298245617,110.0
680,Wordsworth,I,lay,1,285,3.5087719298245617,111.0
681,Wordsworth,I,leap,1,285,3.5087719298245617,112.0
682,Wordsworth,I,learned,1,285,3.5087719298245617,113.0
683,Wordsworth,I,let,1,285,3.5087719298245617,114.0
684,Wordsworth,I,like,1,285,3.5087719298245617,115.0
685,Wordsworth,I,liked,1,285,3.5087719298245617,116.0
686,Wordsworth,I,linger,1,285,3.5087719298245617,117.0
688,Wordsworth,I,listened,1,285,3.5087719298245617,118.0
689,Wordsworth,I,live,1,285,3.5087719298245617,119.0
690,Wordsworth,I,look,1,285,3.5087719298245617,120.0
691,Wordsworth,I,looked,1,285,3.5087719298245617,121.0
692,Wordsworth,I,looked round,1,285,3.5087719298245617,122.0
694,Wordsworth,I,make,1,285,3.5087719298245617,123.0
695,Wordsworth,I,mark,1,285,3.5087719298245617,124.0
696,Wordsworth,I,marked,1,285,3.5087719298245617,125.0
697,Wordsworth,I,may be,1,285,3.5087719298245617,126.0
698,Wordsworth,I,may have,1,285,3.5087719298245617,127.0
699,Wordsworth,I,may sound,1,285,3.5087719298245617,128.0
700,Wordsworth,I,may tread,1,285,3.5087719298245617,129.0
701,Wordsworth,I,may triumph,1,285,3.5087719298245617,130.0
702,Wordsworth,I,measure,1,285,3.5087719298245617,131.0
703,Wordsworth,I,meditate,1,285,3.5087719298245617,132.0
704,Wordsworth,I,might claim,1,285,3.5087719298245617,133.0
705,Wordsworth,I,might dwell,1,285,3.5087719298245617,134.0
707,Wordsworth,I,might hear,1,285,3.5087719298245617,135.0
708,Wordsworth,I,might stray,1,285,3.5087719298245617,136.0
709,Wordsworth,I,mingle,1,285,3.5087719298245617,137.0
710,Wordsworth,I,must bear,1,285,3.5087719298245617,138.0
711,Wordsworth,I,must look,1,285,3.5087719298245617,139.0
712,Wordsworth,I,nor can not believe,1,285,3.5087719298245617,140.0
713,Wordsworth,I,note,1,285,3.5087719298245617,141.0
714,Wordsworth,I,owed,1,285,3.5087719298245617,142.0
715,Wordsworth,I,paint,1,285,3.5087719298245617,143.0
716,Wordsworth,I,partake,1,285,3.5087719298245617,144.0
717,Wordsworth,I,pay,1,285,3.5087719298245617,145.0
718,Wordsworth,I,perceive,1,285,3.5087719298245617,146.0
719,Wordsworth,I,ploughed,1,285,3.5087719298245617,147.0
720,Wordsworth,I,praise,1,285,3.5087719298245617,148.0
722,Wordsworth,I,prefer,1,285,3.5087719298245617,149.0
723,Wordsworth,I,present,1,285,3.5087719298245617,150.0
724,Wordsworth,I,pursue,1,285,3.5087719298245617,151.0
726,Wordsworth,I,quit,1,285,3.5087719298245617,152.0
727,Wordsworth,I,raise,1,285,3.5087719298245617,153.0
728,Wordsworth,I,receive,1,285,3.5087719298245617,154.0
729,Wordsworth,I,received,1,285,3.5087719298245617,155.0
730,Wordsworth,I,recline,1,285,3.5087719298245617,156.0
732,Wordsworth,I,repent,1,285,3.5087719298245617,157.0
733,Wordsworth,I,repent not,1,285,3.5087719298245617,158.0
734,Wordsworth,I,repose,1,285,3.5087719298245617,159.0
735,Wordsworth,I,rifled,1,285,3.5087719298245617,160.0
736,Wordsworth,I,roamed,1,285,3.5087719298245617,161.0
737,Wordsworth,I,rose,1,285,3.5087719298245617,162.0
738,Wordsworth,I,roved,1,285,3.5087719298245617,163.0
739,Wordsworth,I,said,1,285,3.5087719298245617,164.0
740,Wordsworth,I,sate down,1,285,3.5087719298245617,165.0
742,Wordsworth,I,say,1,285,3.5087719298245617,166.0
745,Wordsworth,I,seem,1,285,3.5087719298245617,167.0
746,Wordsworth,I,set up,1,285,3.5087719298245617,168.0
747,Wordsworth,I,shall con,1,285,3.5087719298245617,169.0
748,Wordsworth,I,share,1,285,3.5087719298245617,170.0
749,Wordsworth,I,should rear,1,285,3.5087719298245617,171.0
750,Wordsworth,I,shrink,1,285,3.5087719298245617,172.0
751,Wordsworth,I,shrunk,1,285,3.5087719298245617,173.0
752,Wordsworth,I,shun,1,285,3.5087719298245617,174.0
753,Wordsworth,I,sighed,1,285,3.5087719298245617,175.0
754,Wordsworth,I,slight,1,285,3.5087719298245617,176.0
756,Wordsworth,I,smote,1,285,3.5087719298245617,177.0
757,Wordsworth,I,sojourned,1,285,3.5087719298245617,178.0
758,Wordsworth,I,sought,1,285,3.5087719298245617,179.0
760,Wordsworth,I,spied,1,285,3.5087719298245617,180.0
761,Wordsworth,I,stared,1,285,3.5087719298245617,181.0
762,Wordsworth,I,step forth,1,285,3.5087719298245617,182.0
765,Wordsworth,I,sustain,1,285,3.5087719298245617,183.0
766,Wordsworth,I,thank,1,285,3.5087719298245617,184.0
767,Wordsworth,I,thanked,1,285,3.5087719298245617,185.0
770,Wordsworth,I,tracked,1,285,3.5087719298245617,186.0
771,Wordsworth,I,tremble,1,285,3.5087719298245617,187.0
772,Wordsworth,I,trust,1,285,3.5087719298245617,188.0
774,Wordsworth,I,turned,1,285,3.5087719298245617,189.0
775,Wordsworth,I,venture,1,285,3.5087719298245617,190.0
776,Wordsworth,I,ventured,1,285,3.5087719298245617,191.0
778,Wordsworth,I,was,1,285,3.5087719298245617,192.0
779,Wordsworth,I,was beguiled,1,285,3.5087719298245617,193.0
780,Wordsworth,I,was nursed,1,285,3.5087719298245617,194.0
781,Wordsworth,I,was planting,1,285,3.5087719298245617,195.0
782,Wordsworth,I,was shaping,1,285,3.5087719298245617,196.0
784,Wordsworth,I,ween,1,285,3.5087719298245617,197.0
785,Wordsworth,I,weigh,1,285,3.5087719298245617,198.0
787,Wordsworth,I,went pacing,1,285,3.5087719298245617,199.0
788,Wordsworth,I,will forth,1,285,3.5087719298245617,200.0
789,Wordsworth,I,will front,1,285,3.5087719298245617,201.0
790,Wordsworth,I,won,1,285,3.5087719298245617,202.0
791,Wordsworth,I,wore,1,285,3.5087719298245617,203.0
792,Wordsworth,I,would be,1,285,3.5087719298245617,204.0
793,Wordsworth,I,would not do,1,285,3.5087719298245617,205.0
355,Clare,my,heart,13,202,64.35643564356435,1.0
332,Clare,my,eye,7,202,34.65346534653466,2.0
377,Clare,my,mind,6,202,29.7029702970297,3.0
314,Clare,my,bosom,5,202,24.752475247524753,4.0
343,Clare,my,feet,5,202,24.752475247524753,5.0
333,Clare,my,eyes,4,202,19.801980198019802,6.0
339,Clare,my,fancys,4,202,19.801980198019802,7.0
361,Clare,my,journey,4,202,19.801980198019802,8.0
407,Clare,my,spirits,4,202,19.801980198019802,9.0
315,Clare,my,breast,3,202,14.85148514851485,10.0
338,Clare,my,fancy,3,202,14.85148514851485,11.0
353,Clare,my,hat,3,202,14.85148514851485,12.0
354,Clare,my,head,3,202,14.85148514851485,13.0
358,Clare,my,hopes,3,202,14.85148514851485,14.0
376,Clare,my,memory,3,202,14.85148514851485,15.0
406,Clare,my,spirit,3,202,14.85148514851485,16.0
422,Clare,my,view,3,202,14.85148514851485,17.0
308,Clare,my,ashes,2,202,9.900990099009901,18.0
316,Clare,my,breath,2,202,9.900990099009901,19.0
324,Clare,my,days,2,202,9.900990099009901,20.0
329,Clare,my,end,2,202,9.900990099009901,21.0
334,Clare,my,face,2,202,9.900990099009901,22.0
344,Clare,my,foot,2,202,9.900990099009901,23.0
345,Clare,my,friend,2,202,9.900990099009901,24.0
359,Clare,my,hours,2,202,9.900990099009901,25.0
373,Clare,my,lot,2,202,9.900990099009901,26.0
382,Clare,my,own,2,202,9.900990099009901,27.0
387,Clare,my,rambles,2,202,9.900990099009901,28.0
391,Clare,my,seat,2,202,9.900990099009901,29.0
396,Clare,my,sight,2,202,9.900990099009901,30.0
404,Clare,my,soul,2,202,9.900990099009901,31.0
416,Clare,my,thoughts,2,202,9.900990099009901,32.0
431,Clare,my,woes,2,202,9.900990099009901,33.0
305,Clare,my,affections,1,202,4.9504950495049505,34.0
306,Clare,my,aim,1,202,4.9504950495049505,35.0
307,Clare,my,arms,1,202,4.9504950495049505,36.0
309,Clare,my,being,1,202,4.9504950495049505,37.0
310,Clare,my,birthplace,1,202,4.9504950495049505,38.0
311,Clare,my,bliss,1,202,4.9504950495049505,39.0
312,Clare,my,body,1,202,4.9504950495049505,40.0
313,Clare,my,bones,1,202,4.9504950495049505,41.0
317,Clare,my,churchyard,1,202,4.9504950495049505,42.0
318,Clare,my,cloaths,1,202,4.9504950495049505,43.0
319,Clare,my,comforts,1,202,4.9504950495049505,44.0
320,Clare,my,company,1,202,4.9504950495049505,45.0
321,Clare,my,cowslips,1,202,4.9504950495049505,46.0
322,Clare,my,crust,1,202,4.9504950495049505,47.0
323,Clare,my,crutch,1,202,4.9504950495049505,48.0
325,Clare,my,destiny,1,202,4.9504950495049505,49.0
326,Clare,my,doom,1,202,4.9504950495049505,50.0
327,Clare,my,door,1,202,4.9504950495049505,51.0
328,Clare,my,dust,1,202,4.9504950495049505,52.0
330,Clare,my,esteems,1,202,4.9504950495049505,53.0
331,Clare,my,example,1,202,4.9504950495049505,54.0
335,Clare,my,faith,1,202,4.9504950495049505,55.0
336,Clare,my,family,1,202,4.9504950495049505,56.0
337,Clare,my,fancies,1,202,4.9504950495049505,57.0
340,Clare,my,fate,1,202,4.9504950495049505,58.0
341,Clare,my,faults,1,202,4.9504950495049505,59.0
342,Clare,my,fears,1,202,4.9504950495049505,60.0
346,Clare,my,gaze,1,202,4.9504950495049505,61.0
347,Clare,my,goal,1,202,4.9504950495049505,62.0
348,Clare,my,good,1,202,4.9504950495049505,63.0
349,Clare,my,grave,1,202,4.9504950495049505,64.0
350,Clare,my,hair,1,202,4.9504950495049505,65.0
351,Clare,my,hand,1,202,4.9504950495049505,66.0
352,Clare,my,hands,1,202,4.9504950495049505,67.0
356,Clare,my,hearts,1,202,4.9504950495049505,68.0
357,Clare,my,hope,1,202,4.9504950495049505,69.0
360,Clare,my,hut,1,202,4.9504950495049505,70.0
362,Clare,my,joys,1,202,4.9504950495049505,71.0
363,Clare,my,kindred,1,202,4.9504950495049505,72.0
364,Clare,my,knee,1,202,4.9504950495049505,73.0
365,Clare,my,knees,1,202,4.9504950495049505,74.0
366,Clare,my,lack,1,202,4.9504950495049505,75.0
367,Clare,my,last,1,202,4.9504950495049505,76.0
368,Clare,my,length,1,202,4.9504950495049505,77.0
369,Clare,my,life,1,202,4.9504950495049505,78.0
370,Clare,my,limbs,1,202,4.9504950495049505,79.0
371,Clare,my,lonliness,1,202,4.9504950495049505,80.0
372,Clare,my,lords,1,202,4.9504950495049505,81.0
374,Clare,my,love,1,202,4.9504950495049505,82.0
375,Clare,my,maker,1,202,4.9504950495049505,83.0
378,Clare,my,miserys,1,202,4.9504950495049505,84.0
379,Clare,my,musings,1,202,4.9504950495049505,85.0
380,Clare,my,nourishment,1,202,4.9504950495049505,86.0
381,Clare,my,origin,1,202,4.9504950495049505,87.0
383,Clare,my,pen,1,202,4.9504950495049505,88.0
384,Clare,my,play,1,202,4.9504950495049505,89.0
385,Clare,my,pleasures,1,202,4.9504950495049505,90.0
386,Clare,my,pressure,1,202,4.9504950495049505,91.0
388,Clare,my,rest,1,202,4.9504950495049505,92.0
389,Clare,my,retreat,1,202,4.9504950495049505,93.0
390,Clare,my,search,1,202,4.9504950495049505,94.0
392,Clare,my,self,1,202,4.9504950495049505,95.0
393,Clare,my,shadow,1,202,4.9504950495049505,96.0
394,Clare,my,sheep,1,202,4.9504950495049505,97.0
395,Clare,my,sigh,1,202,4.9504950495049505,98.0
397,Clare,my,silence,1,202,4.9504950495049505,99.0
398,Clare,my,sleep,1,202,4.9504950495049505,100.0
399,Clare,my,solitude,1,202,4.9504950495049505,101.0
400,Clare,my,song,1,202,4.9504950495049505,102.0
401,Clare,my,sonnet,1,202,4.9504950495049505,103.0
402,Clare,my,sorrow,1,202,4.9504950495049505,104.0
403,Clare,my,sorrows,1,202,4.9504950495049505,105.0
405,Clare,my,spade,1,202,4.9504950495049505,106.0
408,Clare,my,spot,1,202,4.9504950495049505,107.0
409,Clare,my,staff,1,202,4.9504950495049505,108.0
410,Clare,my,steps,1,202,4.9504950495049505,109.0
411,Clare,my,stool,1,202,4.9504950495049505,110.0
412,Clare,my,strains,1,202,4.9504950495049505,111.0
413,Clare,my,taste,1,202,4.9504950495049505,112.0
414,Clare,my,tear,1,202,4.9504950495049505,113.0
415,Clare,my,thirst,1,202,4.9504950495049505,114.0
417,Clare,my,toil,1,202,4.9504950495049505,115.0
418,Clare,my,tranquility,1,202,4.9504950495049505,116.0
419,Clare,my,tread,1,202,4.9504950495049505,117.0
420,Clare,my,trumpets,1,202,4.9504950495049505,118.0
421,Clare,my,vale,1,202,4.9504950495049505,119.0
423,Clare,my,village,1,202,4.9504950495049505,120.0
424,Clare,my,walking,1,202,4.9504950495049505,121.0
425,Clare,my,walks,1,202,4.9504950495049505,122.0
426,Clare,my,wandering,1,202,4.9504950495049505,123.0
427,Clare,my,wanderings,1,202,4.9504950495049505,124.0
428,Clare,my,way,1,202,4.9504950495049505,125.0
429,Clare,my,weary,1,202,4.9504950495049505,126.0
430,Clare,my,will,1,202,4.9504950495049505,127.0
575,Smith,my,soul,10,100,100.0,1.0
554,Smith,my,heart,7,100,70.0,2.0
534,Smith,my,breast,4,100,40.0,3.0
547,Smith,my,fate,4,100,40.0,4.0
545,Smith,my,eyes,3,100,30.0,5.0
584,Smith,my,way,3,100,30.0,6.0
536,Smith,my,cares,2,100,20.0,7.0
540,Smith,my,days,2,100,20.0,8.0
542,Smith,my,destiny,2,100,20.0,9.0
548,Smith,my,flame,2,100,20.0,10.0
553,Smith,my,head,2,100,20.0,11.0
557,Smith,my,lays,2,100,20.0,12.0
558,Smith,my,lot,2,100,20.0,13.0
566,Smith,my,passion,2,100,20.0,14.0
571,Smith,my,sight,2,100,20.0,15.0
572,Smith,my,song,2,100,20.0,16.0
577,Smith,my,tears,2,100,20.0,17.0
582,Smith,my,view,2,100,20.0,18.0
526,Smith,my,and,1,100,10.0,19.0
527,Smith,my,angel,1,100,10.0,20.0
528,Smith,my,anna,1,100,10.0,21.0
529,Smith,my,anna's,1,100,10.0,22.0
530,Smith,my,bed,1,100,10.0,23.0
531,Smith,my,blood,1,100,10.0,24.0
532,Smith,my,bosom,1,100,10.0,25.0
533,Smith,my,brain,1,100,10.0,26.0
535,Smith,my,care,1,100,10.0,27.0
537,Smith,my,charlotte's,1,100,10.0,28.0
538,Smith,my,childhood,1,100,10.0,29.0
539,Smith,my,cure,1,100,10.0,30.0
541,Smith,my,despair,1,100,10.0,31.0
543,Smith,my,emmeline,1,100,10.0,32.0
544,Smith,my,empire,1,100,10.0,33.0
546,Smith,my,fancy,1,100,10.0,34.0
549,Smith,my,friend,1,100,10.0,35.0
550,Smith,my,grief,1,100,10.0,36.0
551,Smith,my,harriet,1,100,10.0,37.0
552,Smith,my,haunts,1,100,10.0,38.0
555,Smith,my,hopes,1,100,10.0,39.0
556,Smith,my,hours,1,100,10.0,40.0
559,Smith,my,love,1,100,10.0,41.0
560,Smith,my,memory,1,100,10.0,42.0
561,Smith,my,mind,1,100,10.0,43.0
562,Smith,my,miseries,1,100,10.0,44.0
563,Smith,my,misery,1,100,10.0,45.0
564,Smith,my,mood,1,100,10.0,46.0
565,Smith,my,night,1,100,10.0,47.0
567,Smith,my,path,1,100,10.0,48.0
568,Smith,my,seat,1,100,10.0,49.0
569,Smith,my,sense,1,100,10.0,50.0
570,Smith,my,senses,1,100,10.0,51.0
573,Smith,my,sorrow,1,100,10.0,52.0
574,Smith,my,sorrows,1,100,10.0,53.0
576,Smith,my,spirit,1,100,10.0,54.0
578,Smith,my,throne,1,100,10.0,55.0
579,Smith,my,tomb,1,100,10.0,56.0
580,Smith,my,treasure,1,100,10.0,57.0
581,Smith,my,veins,1,100,10.0,58.0
583,Smith,my,vows,1,100,10.0,59.0
585,Smith,my,wishes,1,100,10.0,60.0
586,Smith,my,woes,1,100,10.0,61.0
587,Smith,my,world,1,100,10.0,62.0
588,Smith,my,youth,1,100,10.0,63.0
833,Wordsworth,my,heart,11,141,78.01418439716312,1.0
860,Wordsworth,my,sight,7,141,49.64539007092199,2.0
809,Wordsworth,my,country,6,141,42.5531914893617,3.0
864,Wordsworth,my,soul,6,141,42.5531914893617,4.0
842,Wordsworth,my,mind,5,141,35.46099290780142,5.0
879,Wordsworth,my,way,5,141,35.46099290780142,6.0
866,Wordsworth,my,spirit,4,141,28.368794326241133,7.0
802,Wordsworth,my,brow,2,141,14.184397163120567,8.0
810,Wordsworth,my,country's,2,141,14.184397163120567,9.0
815,Wordsworth,my,desire,2,141,14.184397163120567,10.0
821,Wordsworth,my,eyes,2,141,14.184397163120567,11.0
824,Wordsworth,my,feet,2,141,14.184397163120567,12.0
844,Wordsworth,my,name,2,141,14.184397163120567,13.0
851,Wordsworth,my,partner,2,141,14.184397163120567,14.0
852,Wordsworth,my,path,2,141,14.184397163120567,15.0
859,Wordsworth,my,side,2,141,14.184397163120567,16.0
863,Wordsworth,my,song,2,141,14.184397163120567,17.0
869,Wordsworth,my,steps,2,141,14.184397163120567,18.0
873,Wordsworth,my,thoughts,2,141,14.184397163120567,19.0
875,Wordsworth,my,tongue,2,141,14.184397163120567,20.0
878,Wordsworth,my,verse,2,141,14.184397163120567,21.0
881,Wordsworth,my,years,2,141,14.184397163120567,22.0
794,Wordsworth,my,affection,1,141,7.092198581560283,23.0
795,Wordsworth,my,bands,1,141,7.092198581560283,24.0
796,Wordsworth,my,bed,1,141,7.092198581560283,25.0
797,Wordsworth,my,beloved,1,141,7.092198581560283,26.0
798,Wordsworth,my,blessing,1,141,7.092198581560283,27.0
799,Wordsworth,my,boat,1,141,7.092198581560283,28.0
800,Wordsworth,my,bosom,1,141,7.092198581560283,29.0
801,Wordsworth,my,breast,1,141,7.092198581560283,30.0
803,Wordsworth,my,cam,1,141,7.092198581560283,31.0
804,Wordsworth,my,cares,1,141,7.092198581560283,32.0
805,Wordsworth,my,chance-acquaintance,1,141,7.092198581560283,33.0
806,Wordsworth,my,cheek,1,141,7.092198581560283,34.0
807,Wordsworth,my,child,1,141,7.092198581560283,35.0
808,Wordsworth,my,cottage-fire,1,141,7.092198581560283,36.0
811,Wordsworth,my,course,1,141,7.092198581560283,37.0
812,Wordsworth,my,courts,1,141,7.092198581560283,38.0
813,Wordsworth,my,days,1,141,7.092198581560283,39.0
814,Wordsworth,my,deeds,1,141,7.092198581560283,40.0
816,Wordsworth,my,doubts,1,141,7.092198581560283,41.0
817,Wordsworth,my,dream,1,141,7.092198581560283,42.0
818,Wordsworth,my,dreams,1,141,7.092198581560283,43.0
819,Wordsworth,my,dungeon,1,141,7.092198581560283,44.0
820,Wordsworth,my,ear,1,141,7.092198581560283,45.0
822,Wordsworth,my,fancy,1,141,7.092198581560283,46.0
823,Wordsworth,my,fault,1,141,7.092198581560283,47.0
825,Wordsworth,my,fire,1,141,7.092198581560283,48.0
826,Wordsworth,my,fireside,1,141,7.092198581560283,49.0
827,Wordsworth,my,foe,1,141,7.092198581560283,50.0
828,Wordsworth,my,forebodings,1,141,7.092198581560283,51.0
829,Wordsworth,my,frame,1,141,7.092198581560283,52.0
830,Wordsworth,my,furniture,1,141,7.092198581560283,53.0
831,Wordsworth,my,guide,1,141,7.092198581560283,54.0
832,Wordsworth,my,hands,1,141,7.092198581560283,55.0
834,Wordsworth,my,heart's,1,141,7.092198581560283,56.0
835,Wordsworth,my,lay,1,141,7.092198581560283,57.0
836,Wordsworth,my,life's,1,141,7.092198581560283,58.0
837,Wordsworth,my,little-one,1,141,7.092198581560283,59.0
838,Wordsworth,my,little-ones,1,141,7.092198581560283,60.0
839,Wordsworth,my,loss,1,141,7.092198581560283,61.0
840,Wordsworth,my,lot,1,141,7.092198581560283,62.0
841,Wordsworth,my,love,1,141,7.092198581560283,63.0
843,Wordsworth,my,mind's,1,141,7.092198581560283,64.0
845,Wordsworth,my,nerves,1,141,7.092198581560283,65.0
846,Wordsworth,my,night-watch,1,141,7.092198581560283,66.0
847,Wordsworth,my,nurslings,1,141,7.092198581560283,67.0
848,Wordsworth,my,oarsmen,1,141,7.092198581560283,68.0
849,Wordsworth,my,offspring,1,141,7.092198581560283,69.0
850,Wordsworth,my,parents,1,141,7.092198581560283,70.0
853,Wordsworth,my,peers,1,141,7.092198581560283,71.0
854,Wordsworth,my,pen,1,141,7.092198581560283,72.0
855,Wordsworth,my,pulse,1,141,7.092198581560283,73.0
856,Wordsworth,my,redeemer,1,141,7.092198581560283,74.0
857,Wordsworth,my,rest,1,141,7.092198581560283,75.0
858,Wordsworth,my,seat,1,141,7.092198581560283,76.0
861,Wordsworth,my,sins,1,141,7.092198581560283,77.0
862,Wordsworth,my,son,1,141,7.092198581560283,78.0
865,Wordsworth,my,soul's,1,141,7.092198581560283,79.0
867,Wordsworth,my,spring-time,1,141,7.092198581560283,80.0
868,Wordsworth,my,state,1,141,7.092198581560283,81.0
870,Wordsworth,my,temples,1,141,7.092198581560283,82.0
871,Wordsworth,my,theme,1,141,7.092198581560283,83.0
872,Wordsworth,my,thought,1,141,7.092198581560283,84.0
874,Wordsworth,my,thraldom,1,141,7.092198581560283,85.0
876,Wordsworth,my,trees,1,141,7.092198581560283,86.0
877,Wordsworth,my,trust,1,141,7.092198581560283,87.0
880,Wordsworth,my,words,1,141,7.092198581560283,88.0
882,Wordsworth,my,youth,1,141,7.092198581560283,89.0
